idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1091,SB10568178,1091,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,7.20,7.30,7.30,8.45,-,-,-,-,-,-,7.87
1092,SB11169653,1092,"ŞCOALA GIMNAZIALĂ ""ION LUCA CARAGIALE"" SIBIU",7.15,-,-,8.60,-,-,-,-,-,-,7.87
1093,SB10592744,1093,ŞCOALA GIMNAZIALĂ NR. 3 CISNĂDIE,6.35,7.10,7.10,8.65,-,-,-,-,-,-,7.87
1094,SB8467225,1094,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,7.70,-,-,7.40,7.45,7.45,Limba germana,8.45,-,-,7.86
1095,SB8966665,1095,ŞCOALA GIMNAZIALĂ BAZNA,9.45,-,-,6.25,-,-,-,-,-,-,7.85
1096,SB10433701,1096,"LICEUL TEORETIC ""ROTH - OBERTH"" MEDIAŞ",9.25,-,-,7.05,-,-,Limba germana,7.25,-,-,7.85
1097,SB10329224,1097,"ŞCOALA GIMNAZIALĂ ""CIREŞARII"" MEDIAŞ",9.00,-,-,6.70,-,-,-,-,-,-,7.85
1098,SB9439919,1098,ŞCOALA GIMNAZIALĂ ALĂMOR,8.90,-,-,6.80,-,-,-,-,-,-,7.85
1099,SB10330476,1099,"ŞCOALA GIMNAZIALĂ ""CIREŞARII"" MEDIAŞ",8.50,-,-,7.20,-,-,-,-,-,-,7.85
1100,SB10022132,1100,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,8.35,-,-,7.35,-,-,-,-,-,-,7.85
1101,SB10486523,1101,"ŞCOALA GIMNAZIALĂ ""IOAN BAN - DASCĂLU"" POIANA SIBIULUI",8.25,-,-,7.45,-,-,-,-,-,-,7.85
1102,SB9386787,1102,ŞCOALA GIMNAZIALĂ NR. 3 CISNĂDIE,8.05,-,-,7.65,-,-,-,-,-,-,7.85
1103,SB9071760,1103,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",7.85,-,-,7.75,-,-,Limba germana,7.95,-,-,7.85
1104,SB10571155,1104,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,7.75,-,-,7.95,-,-,-,-,-,-,7.85
1105,SB9818169,1105,"LICEUL TEORETIC ""GHEORGHE LAZĂR"" AVRIG",7.25,7.50,7.50,8.20,-,-,-,-,-,-,7.85
1106,SB10108000,1106,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",7.10,-,-,8.60,-,-,-,-,-,-,7.85
1107,SB12618433,1107,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,6.65,-,-,8.20,-,-,Limba germana,8.70,-,-,7.85
1108,SB10072738,1108,"ŞCOALA GIMNAZIALĂ ""BATHORY ISTVAN"" MEDIAŞ",8.70,-,-,6.05,-,-,Limba maghiara,8.75,-,-,7.83
1109,SB9587659,1109,"LICEUL TEORETIC ""GUSTAV GÜNDISCH"" CISNĂDIE",8.05,-,-,8.00,-,-,Limba germana,7.45,-,-,7.83
1110,SB10499461,1110,"ŞCOALA GIMNAZIALĂ ""GEORG DANIEL TEUTSCH"" AGNITA",7.90,-,-,7.65,-,-,Limba germana,7.95,-,-,7.83
1111,SB10119965,1111,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,7.50,-,-,8.65,-,-,Limba germana,7.35,-,-,7.83
1112,SB4069951,1112,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,8.80,8.65,8.65,7.00,-,-,-,-,-,-,7.82
1113,SB9943507,1113,"LICEUL TEHNOLOGIC ""IOAN LUPAŞ"" SĂLIŞTE",8.70,-,-,6.95,-,-,-,-,-,-,7.82
1114,SB10293713,1114,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,8.55,8.45,8.45,7.20,-,-,-,-,-,-,7.82
1115,SB13640620,1115,"LICEUL TEORETIC ""GUSTAV GÜNDISCH"" CISNĂDIE",8.50,-,-,7.15,-,-,-,-,-,-,7.82
1116,SB9113288,1116,ŞCOALA GIMNAZIALĂ NR. 7 MEDIAŞ,8.45,-,-,7.20,-,-,-,-,-,-,7.82
1117,SB13136726,1117,ŞCOALA GIMNAZIALĂ CRISTIAN,8.35,-,-,7.30,-,-,-,-,-,-,7.82
1118,SB10407843,1118,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,8.20,-,-,7.45,-,-,-,-,-,-,7.82
1119,SB9082705,1119,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",8.20,-,-,7.45,-,-,-,-,-,-,7.82
1120,SB12297711,1120,ŞCOALA GIMNAZIALĂ NR. 18 SIBIU,7.85,-,-,7.80,-,-,-,-,-,-,7.82
